597	226
122	606
267	7
951	559
356	425
566	245
185	66
813	972
928	781
999	934
470	715
288	649
786	562
77	251
692	851
376	562
404	798
537	349
783	300
177	224
891	265
896	120
204	156
990	388
128	652
319	835
900	641
815	472
458	915
804	455
386	731
339	891
389	317
187	245
400	558
110	979
253	624
110	299
934	615
188	466
435	431
371	781
131	724
827	731
134	438
738	325
769	511
717	291
699	586
732	901
980	505
51	290
262	19
380	400
539	952
74	473
406	874
145	527
798	683
305	956
324	797
730	608
357	658
121	87
195	32
808	526
783	184
891	234
833	52
239	110
912	171
253	519
876	794
604	469
920	144
317	496
254	374
504	140
387	761
235	691
945	677
411	294
683	152
715	24
275	177
641	366
232	75
272	655
147	882
152	284
864	840
498	91
753	804
351	854
142	944
257	99
257	333
65	560
982	469
22	38
